bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin,mean_bipartivity_in_bin,dataset_name,nodes,density_category
72,0.411429,0.417143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
73,0.417143,0.422857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
74,0.422857,0.428571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
75,0.428571,0.434286,86,0,0.000000,0.428571,0.799158,8N_Bipartite_Sparse,8,Sparse
76,0.434286,0.440000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
77,0.440000,0.445714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
78,0.445714,0.451429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
79,0.451429,0.457143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
80,0.457143,0.462857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
81,0.462857,0.468571,23,0,0.000000,0.464286,0.762486,8N_Bipartite_Sparse,8,Sparse
82,0.468571,0.474286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
83,0.474286,0.480000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
84,0.480000,0.485714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
85,0.485714,0.491429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
86,0.491429,0.497143,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
87,0.497143,0.502857,8,0,0.000000,0.500000,0.745466,8N_Bipartite_Sparse,8,Sparse
88,0.502857,0.508571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
89,0.508571,0.514286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
90,0.514286,0.520000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
91,0.520000,0.525714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
92,0.525714,0.531429,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
93,0.531429,0.537143,4,0,0.000000,0.535714,0.684692,8N_Bipartite_Sparse,8,Sparse
94,0.537143,0.542857,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
95,0.542857,0.548571,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
96,0.548571,0.554286,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
97,0.554286,0.560000,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
98,0.560000,0.565714,0,0,NA,NA,NA,8N_Bipartite_Sparse,8,Sparse
