run_type,num_nodes,dataset_name,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,edge_prob_diff,generated_mean_degree,dataset_mean_degree,mean_degree_diff,generated_std_degree,dataset_std_degree,std_degree_diff,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,clustering_coeff_diff,gen_avg_shortest_path,dataset_avg_shortest_path,avg_shortest_path_diff
Simulation,8,8N_Bipartite_Sparse,legacy_run_params_8N_Bipartite_Sparse_LR0.042174583320667126_SIGMA0.8175072163174264_INIT1.0464881642904231_NUMLAYERS1,512,75.3906,100.0000,0.2311,0.2256,0.0055,1.6177,1.5789,0.0387,0.9209,1.0006,0.0798,0.0493,0.0000,0.0493,1.9131,1.9347,0.0216
Simulation,8,8N_Bipartite_Sparse,legacy_run_params_8N_Bipartite_Sparse_LR0.0036836339453192304_SIGMA0.7428271054083595_INIT0.205636617535598_NUMLAYERS4,512,77.3438,100.0000,0.2261,0.2256,0.0005,1.5825,1.5789,0.0036,0.9215,1.0006,0.0792,0.0452,0.0000,0.0452,1.9347,1.9347,0.0000
Evaluation,8,8N_ER_Dense,Dense,512,0.0000,0.0000,0.6630,0.7618,0.0988,4.6411,5.3325,0.6914,1.0673,1.0715,0.0043,0.6622,0.7648,0.1026,1.3488,1.2386,0.1102
Simulation,8,8N_ER_Dense,legacy_run_params_8N_ER_Dense_LR0.04206675941389984_SIGMA0.7206244967648459_INIT0.5521825859396434_NUMLAYERS1,512,0.0000,0.0000,0.7520,0.7618,0.0098,5.2642,5.3325,0.0683,0.9633,1.0715,0.1083,0.7520,0.7648,0.0128,1.2496,1.2386,0.0110
Simulation,8,8N_ER_Dense,Dense,512,0.0000,0.0000,0.7003,0.7618,0.0615,4.9023,5.3325,0.4302,1.0372,1.0715,0.0343,0.7027,0.7648,0.0621,1.3045,1.2386,0.0660
Evaluation,8,8N_ER_Medium,Medium,512,1.9531,0.5000,0.4648,0.4420,0.0228,3.2534,3.0938,0.1597,1.1224,1.2088,0.0864,0.4115,0.3886,0.0229,1.6292,1.6690,0.0398
Simulation,8,8N_ER_Medium,legacy_run_params_8N_ER_Medium_LR0.011220685773844122_SIGMA0.6962179567887462_INIT1.810103830663358_NUMLAYERS5,512,2.9297,0.5000,0.4457,0.4420,0.0038,3.1201,3.0938,0.0264,1.1064,1.2088,0.1024,0.3956,0.3886,0.0070,1.6627,1.6690,0.0063
Simulation,8,8N_ER_Medium,Medium,512,3.1250,0.5000,0.4610,0.4420,0.0190,3.2271,3.0938,0.1333,1.0951,1.2088,0.1137,0.4138,0.3886,0.0251,1.6315,1.6690,0.0375
Evaluation,8,8N_ER_Sparse,Sparse,512,25.7812,51.5000,0.3138,0.2207,0.0930,2.1963,1.5450,0.6513,1.0456,1.0407,0.0049,0.2185,0.1312,0.0873,1.8524,1.7864,0.0660
Simulation,8,8N_ER_Sparse,legacy_run_params_8N_ER_Sparse_LR0.04522709518095061_SIGMA0.6587519702447917_INIT0.17944082088572766_NUMLAYERS1,512,54.4922,51.5000,0.2257,0.2207,0.0049,1.5796,1.5450,0.0346,0.9297,1.0407,0.1110,0.1134,0.1312,0.0178,1.8564,1.7864,0.0700
Simulation,8,8N_ER_Sparse,Sparse,512,31.8359,51.5000,0.2862,0.2207,0.0655,2.0034,1.5450,0.4584,1.0221,1.0407,0.0185,0.1977,0.1312,0.0665,1.8496,1.7864,0.0632
Evaluation,10,10N_Bipartite_Dense,Dense,512,0.1953,100.0000,0.3928,0.3470,0.0458,3.5348,3.1229,0.4119,1.3817,1.4859,0.1041,0.3759,0.0000,0.3759,1.7316,1.8173,0.0857
Evaluation,10,10N_Bipartite_Dense,Dense,512,0.3906,100.0000,0.3967,0.3470,0.0498,3.5707,3.1229,0.4478,1.3676,1.4859,0.1182,0.3678,0.0000,0.3678,1.7300,1.8173,0.0873
Evaluation,10,10N_Bipartite_Dense,Dense,512,0.3906,100.0000,0.4008,0.3470,0.0538,3.6074,3.1229,0.4845,1.3866,1.4859,0.0992,0.3754,0.0000,0.3754,1.7308,1.8173,0.0864
Evaluation,10,10N_Bipartite_Dense,legacy_run_params_10N_Bipartite_Dense_LR0.0009131935892470876_SIGMA0.10121114465217869_INIT0.8314880277242851_NUMLAYERS3,512,0.3906,100.0000,0.4175,0.3470,0.0705,3.7574,3.1229,0.6345,1.3309,1.4859,0.1550,0.3950,0.0000,0.3950,1.6914,1.8173,0.1259
Evaluation,10,10N_Bipartite_Dense,Dense,512,0.7812,100.0000,0.3688,0.3470,0.0218,3.3195,3.1229,0.1966,1.3098,1.4859,0.1760,0.3406,0.0000,0.3406,1.8088,1.8173,0.0084
Evaluation,10,10N_Bipartite_Dense,Dense,512,12.3047,100.0000,0.2871,0.3470,0.0599,2.5836,3.1229,0.5393,1.2082,1.4859,0.2777,0.2022,0.0000,0.2022,2.0197,1.8173,0.2024
