run_id,run_type,dataset_name,num_nodes,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,generated_mean_degree,dataset_mean_degree,generated_std_degree,dataset_std_degree,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,gen_avg_shortest_path,dataset_avg_shortest_path,edge_prob_diff,mean_degree_diff,std_degree_diff,clustering_coeff_diff,avg_shortest_path_diff
evaluation_results/8N_Bipartite/run_20250714_104340/Dense,Evaluation,8N_Bipartite_Dense,8,Dense,512,19.5312,100,0.354,0.311,2.478,2.1772,1.037,1.1602,0.2285,0,1.8429,1.9132,0.043,0.3008,0.1232,0.2285,0.0703
evaluation_results/8N_Bipartite/run_20250714_104340/Medium,Evaluation,8N_Bipartite_Medium,8,Medium,512,17.7734,100,0.3567,0.2887,2.4966,2.0212,1.0586,1.1318,0.2514,0,1.8344,1.9038,0.0679,0.4754,0.0732,0.2514,0.0694
evaluation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8N_Bipartite_Sparse,8,Sparse,512,33.5938,100,0.3039,0.2256,2.1274,1.5789,1.0593,1.0006,0.1714,0,1.87,1.9347,0.0784,0.5485,0.0587,0.1714,0.0647
evaluation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8N_Bipartite_Dense,8,Dense,512,34.9609,100,0.2788,0.311,1.9517,2.1772,1.0351,1.1602,0.1643,0,1.8971,1.9132,0.0322,0.2255,0.125,0.1643,0.0161
evaluation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8N_Bipartite_Medium,8,Medium,512,31.6406,100,0.3066,0.2887,2.1465,2.0212,1.012,1.1318,0.1792,0,1.9007,1.9038,0.0179,0.1253,0.1198,0.1792,0.003
evaluation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8N_Bipartite_Sparse,8,Sparse,512,48.6328,100,0.2539,0.2256,1.7773,1.5789,0.9962,1.0006,0.1406,0,1.8676,1.9347,0.0283,0.1984,0.0045,0.1406,0.0671
evaluation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8N_ER_Dense,8,Dense,512,0,0,0.663,0.7618,4.6411,5.3325,1.0673,1.0715,0.6622,0.7648,1.3488,1.2386,0.0988,0.6914,0.0043,0.1026,0.1102
evaluation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8N_ER_Medium,8,Medium,512,1.9531,0.5,0.4648,0.442,3.2534,3.0938,1.1224,1.2088,0.4115,0.3886,1.6292,1.669,0.0228,0.1597,0.0864,0.0229,0.0398
evaluation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8N_ER_Sparse,8,Sparse,512,25.7812,51.5,0.3138,0.2207,2.1963,1.545,1.0456,1.0407,0.2185,0.1312,1.8524,1.7864,0.093,0.6513,0.0049,0.0873,0.066
evaluation_results/old/legacy_run_params_10N_Bipartite_Dense_LR0.0009131935892470876_SIGMA0.10121114465217869_INIT0.8314880277242851_NUMLAYERS3,Evaluation,10N_Bipartite_Dense,10,legacy_run_params_10N_Bipartite_Dense_LR0.0009131935892470876_SIGMA0.10121114465217869_INIT0.8314880277242851_NUMLAYERS3,512,0.3906,100,0.4175,0.347,3.7574,3.1229,1.3309,1.4859,0.395,0,1.6914,1.8173,0.0705,0.6345,0.155,0.395,0.1259
evaluation_results/old/legacy_run_params_10N_Bipartite_Medium_LR0.0037711868141441346_SIGMA1.5585418217447389_INIT0.416282403403894_NUMLAYERS2,Evaluation,10N_Bipartite_Medium,10,legacy_run_params_10N_Bipartite_Medium_LR0.0037711868141441346_SIGMA1.5585418217447389_INIT0.416282403403894_NUMLAYERS2,512,8.7891,100,0.2965,0.2307,2.6687,2.076,1.2471,1.3096,0.2365,0,1.9712,2.1109,0.0659,0.5927,0.0625,0.2365,0.1397
evaluation_results/old/legacy_run_params_10N_Bipartite_Sparse_LR0.006115521401940773_SIGMA1.0372657813112909_INIT0.6303388864180629_NUMLAYERS2,Evaluation,10N_Bipartite_Sparse,10,legacy_run_params_10N_Bipartite_Sparse_LR0.006115521401940773_SIGMA1.0372657813112909_INIT0.6303388864180629_NUMLAYERS2,512,15.2344,100,0.2605,0.1771,2.3441,1.5937,1.1747,1.0706,0.1848,0,2.0642,2.1652,0.0834,0.7505,0.1041,0.1848,0.101
evaluation_results/old/legacy_run_params_10N_Bipartite_Sparse_LR0.014049888784460545_SIGMA0.8704785169146021_INIT0.8213822199016373_NUMLAYERS1,Evaluation,10N_Bipartite_Sparse,10,legacy_run_params_10N_Bipartite_Sparse_LR0.014049888784460545_SIGMA0.8704785169146021_INIT0.8213822199016373_NUMLAYERS1,512,23.0469,100,0.2424,0.1771,2.1813,1.5937,1.1503,1.0706,0.1501,0,2.1033,2.1652,0.0653,0.5876,0.0798,0.1501,0.0619
evaluation_results/old/legacy_run_params_10N_ER_Dense_LR0.031248086322939895_SIGMA0.7735621474524553_INIT0.42238728842048007_NUMLAYERS2,Evaluation,10N_ER_Dense,10,legacy_run_params_10N_ER_Dense_LR0.031248086322939895_SIGMA0.7735621474524553_INIT0.42238728842048007_NUMLAYERS2,512,0,0,0.7216,0.7884,6.4945,7.096,1.1868,1.2088,0.7204,0.7887,1.2789,1.2116,0.0668,0.6015,0.022,0.0683,0.0674
evaluation_results/old/legacy_run_params_10N_ER_Medium_LR0.007216520881270238_SIGMA0.6960408118792989_INIT0.893668244257591_NUMLAYERS1,Evaluation,10N_ER_Medium,10,legacy_run_params_10N_ER_Medium_LR0.007216520881270238_SIGMA0.6960408118792989_INIT0.893668244257591_NUMLAYERS1,512,0,0.2,0.4573,0.438,4.1156,3.9424,1.3096,1.4627,0.4448,0.4242,1.624,1.6505,0.0192,0.1732,0.1531,0.0206,0.0265
evaluation_results/old/legacy_run_params_10N_ER_Sparse_LR0.032372631678972856_SIGMA0.7649320273591023_INIT1.5357950633585402_NUMLAYERS1,Evaluation,10N_ER_Sparse,10,legacy_run_params_10N_ER_Sparse_LR0.032372631678972856_SIGMA0.7649320273591023_INIT1.5357950633585402_NUMLAYERS1,512,16.2109,33.8,0.2592,0.1919,2.3324,1.7268,1.1351,1.1545,0.1768,0.1196,2.0505,2.1311,0.0673,0.6056,0.0194,0.0573,0.0806
evaluation_results/old/legacy_run_params_14N_Bipartite_Dense_LR0.05697641941280111_SIGMA0.10993054267369362_INIT1.332910357138958_NUMLAYERS1,Evaluation,14N_Bipartite_Dense,14,legacy_run_params_14N_Bipartite_Dense_LR0.05697641941280111_SIGMA0.10993054267369362_INIT1.332910357138958_NUMLAYERS1,512,0,100,0.4876,0.3727,6.3393,4.8445,1.6306,2.0946,0.482,0,1.5316,1.7407,0.115,1.4948,0.4639,0.482,0.2091
evaluation_results/old/legacy_run_params_14N_Bipartite_Medium_LR0.003700878888183011_SIGMA1.8896275887587226_INIT1.4096892767484017_NUMLAYERS4,Evaluation,14N_Bipartite_Medium,14,legacy_run_params_14N_Bipartite_Medium_LR0.003700878888183011_SIGMA1.8896275887587226_INIT1.4096892767484017_NUMLAYERS4,512,0,100,0.3342,0.2084,4.3451,2.7096,1.6115,1.6521,0.3215,0,1.8222,2.2651,0.1258,1.6356,0.0407,0.3215,0.4429
evaluation_results/old/legacy_run_params_14N_Bipartite_Sparse_LR0.0009135637795619795_SIGMA1.0260396574720994_INIT0.2960938093789271_NUMLAYERS3,Evaluation,14N_Bipartite_Sparse,14,legacy_run_params_14N_Bipartite_Sparse_LR0.0009135637795619795_SIGMA1.0260396574720994_INIT0.2960938093789271_NUMLAYERS3,512,0.5859,100,0.2395,0.1042,3.1133,1.3545,1.442,1.124,0.2038,0,2.1696,2.388,0.1353,1.7588,0.318,0.2038,0.2185
evaluation_results/old/legacy_run_params_14N_Bipartite_Sparse_LR0.001672169486739108_SIGMA0.9231013598757258_INIT0.2562470060605544_NUMLAYERS5,Evaluation,14N_Bipartite_Sparse,14,legacy_run_params_14N_Bipartite_Sparse_LR0.001672169486739108_SIGMA0.9231013598757258_INIT0.2562470060605544_NUMLAYERS5,512,0.1953,100,0.2702,0.1042,3.5123,1.3545,1.4819,1.124,0.2489,0,2.0476,2.388,0.166,2.1578,0.3579,0.2489,0.3404
evaluation_results/old/legacy_run_params_14N_ER_Dense_LR0.003007928492112876_SIGMA0.788257573897633_INIT0.45428405466863664_NUMLAYERS2,Evaluation,14N_ER_Dense,14,legacy_run_params_14N_ER_Dense_LR0.003007928492112876_SIGMA0.788257573897633_INIT0.45428405466863664_NUMLAYERS2,512,0,0,0.7124,0.8145,9.2606,10.588,1.5054,1.5603,0.7135,0.8151,1.2878,1.1855,0.1021,1.3274,0.0549,0.1016,0.1022
evaluation_results/old/legacy_run_params_14N_ER_Medium_LR0.020808717745815757_SIGMA0.8897430791197918_INIT0.6417265067371234_NUMLAYERS3,Evaluation,14N_ER_Medium,14,legacy_run_params_14N_ER_Medium_LR0.020808717745815757_SIGMA0.8897430791197918_INIT0.6417265067371234_NUMLAYERS3,512,0,0,0.4779,0.4487,6.2126,5.8337,1.6353,1.8337,0.4746,0.4441,1.546,1.5928,0.0291,0.3789,0.1984,0.0305,0.0468
evaluation_results/old/legacy_run_params_14N_ER_Sparse_LR0.000674683777427142_SIGMA0.7311700596180342_INIT0.3696050646549004_NUMLAYERS5,Evaluation,14N_ER_Sparse,14,legacy_run_params_14N_ER_Sparse_LR0.000674683777427142_SIGMA0.7311700596180342_INIT0.3696050646549004_NUMLAYERS5,512,0,27.9,0.3015,0.1575,3.9194,2.0469,1.5263,1.3919,0.2815,0.1045,1.933,2.3979,0.144,1.8725,0.1343,0.177,0.465
evaluation_results/old/legacy_run_params_18N_Bipartite_Dense_LR0.00012487564616169122_SIGMA0.10502972406872879_INIT0.6702875946169518_NUMLAYERS3,Evaluation,18N_Bipartite_Dense,18,legacy_run_params_18N_Bipartite_Dense_LR0.00012487564616169122_SIGMA0.10502972406872879_INIT0.6702875946169518_NUMLAYERS3,512,0,100,0.4512,0.3697,7.6708,6.2841,2.1342,2.8588,0.4624,0,1.5626,1.7198,0.0816,1.3867,0.7246,0.4624,0.1572
evaluation_results/old/legacy_run_params_18N_Bipartite_Medium_LR0.0017744784691436084_SIGMA1.8303414487358955_INIT0.823301510869179_NUMLAYERS1,Evaluation,18N_Bipartite_Medium,18,legacy_run_params_18N_Bipartite_Medium_LR0.0017744784691436084_SIGMA1.8303414487358955_INIT0.823301510869179_NUMLAYERS1,512,0,100,0.309,0.1967,5.2526,3.3441,1.8476,2.0236,0.3027,0,1.8333,2.2788,0.1123,1.9085,0.1761,0.3027,0.4455
evaluation_results/old/legacy_run_params_18N_Bipartite_Sparse_LR0.00305852656978405_SIGMA0.8235833357498747_INIT0.4137962673127437_NUMLAYERS3,Evaluation,18N_Bipartite_Sparse,18,legacy_run_params_18N_Bipartite_Sparse_LR0.00305852656978405_SIGMA0.8235833357498747_INIT0.4137962673127437_NUMLAYERS3,512,0,100,0.2648,0.0747,4.5024,1.2702,1.752,1.1675,0.2571,0,1.9749,2.5455,0.1901,3.2322,0.5845,0.2571,0.5706
evaluation_results/old/legacy_run_params_18N_ER_Dense_LR0.0024122980321321335_SIGMA0.8605456674562558_INIT1.001744809410076_NUMLAYERS1,Evaluation,18N_ER_Dense,18,legacy_run_params_18N_ER_Dense_LR0.0024122980321321335_SIGMA0.8605456674562558_INIT1.001744809410076_NUMLAYERS1,512,0,0,0.7238,0.8255,12.3049,14.0329,1.7479,1.8947,0.7253,0.826,1.2762,1.1745,0.1016,1.728,0.1468,0.1007,0.1016
