run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_spectral_ev_1,spectral_ev_1_value,mmd_spectral_ev_1,generated_spectral_ev_2,spectral_ev_2_value,mmd_spectral_ev_2,generated_spectral_ev_3,spectral_ev_3_value,mmd_spectral_ev_3,generated_spectral_ev_4,spectral_ev_4_value,mmd_spectral_ev_4,generated_spectral_ev_5,spectral_ev_5_value,mmd_spectral_ev_5,generated_bipartite,bipartite_value,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/10N_Bipartite/run_20250704_125454/Sparse,Evaluation,10,Bipartite,Sparse,0.4563,0.1771,,2.0327,1.1461,0.2665,11.1406,0.0000,0.9283,1.1102,0.8008,0.4716,1.2461,1.0086,0.9547,1.3755,1.3880,0.4921,1.5260,1.7827,0.7849,1.6967,1.9900,1.3481,0.0000,100.0000,0.1522,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/run_20250716_095712/Dense,Evaluation,10,Bipartite,Dense,0.2871,0.3470,,1.5313,2.2078,0.2619,2.6445,0.0000,0.4467,1.0578,0.9728,0.2319,1.2898,0.9966,1.0049,1.5068,1.1709,0.6663,1.7019,1.5197,0.2428,1.8653,2.0000,0.6564,12.3047,100.0000,0.0577,0.0000,0.3906,100.0000,99.2188
evaluation_results/10N_Bipartite/run_20250716_095712/Medium,Evaluation,10,Bipartite,Medium,0.2154,0.2307,,1.3292,1.7150,0.0674,1.2754,0.0000,0.3146,0.9331,0.8872,0.0516,1.2168,0.9740,0.4463,1.5250,1.2548,0.2750,1.7719,1.6730,0.0371,1.9221,1.9900,0.3380,33.3984,100.0000,0.0369,0.0000,15.4297,100.0000,89.0625
evaluation_results/10N_Bipartite/run_20250716_095712/Sparse,Evaluation,10,Bipartite,Sparse,0.2757,0.1771,,1.5496,1.1461,0.0597,2.5312,0.0000,0.4489,1.0406,0.8008,0.1077,1.2836,1.0086,0.5725,1.5079,1.3880,0.2077,1.7113,1.7827,0.2110,1.8683,1.9900,0.6204,15.2344,100.0000,0.0431,0.0000,10.1562,100.0000,97.6562
evaluation_results/10N_ER/run_20250704_103803/Dense,Evaluation,10,ER,Dense,0.6283,0.7884,,1.7323,1.4612,0.1397,29.9297,58.6540,0.7934,1.1201,1.1164,0.0845,1.2080,1.1526,0.3522,1.3028,1.2198,0.4149,1.4006,1.2941,0.5798,1.5278,1.3892,0.5612,0.0000,0.0000,0.0553,0.0000,0.1953,100.0000,100.0000
evaluation_results/10N_ER/run_20250704_103803/Medium,Evaluation,10,ER,Medium,0.4850,0.4380,,1.7731,2.1395,-0.0029,13.7266,9.9880,0.0697,1.1206,1.1150,-0.0016,1.2541,1.2620,0.0027,1.3774,1.4086,0.0431,1.5070,1.5477,0.0551,1.6490,1.6938,0.0570,0.0000,0.2000,0.0100,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_ER/run_20250704_103803/Sparse,Evaluation,10,ER,Sparse,0.5000,0.1919,,1.8666,1.3330,0.2041,15.1484,0.8420,0.9150,1.1245,0.8512,0.4774,1.2464,1.1929,0.5341,1.3658,1.5245,0.5684,1.4928,1.7977,0.9100,1.6337,1.9426,1.1798,0.0000,33.8000,0.1495,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_ER/run_20250716_103917/Dense,Evaluation,10,ER,Dense,0.5650,0.7884,,1.7672,1.4612,0.1473,21.6582,58.6540,1.1132,1.1212,1.1164,0.1236,1.2267,1.1526,0.5201,1.3323,1.2198,0.6257,1.4457,1.2941,0.8044,1.5789,1.3892,0.8125,0.0000,0.0000,0.0741,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_ER/run_20250716_103917/Medium,Evaluation,10,ER,Medium,0.2998,0.4380,,1.4924,2.1395,0.0251,3.2539,9.9880,0.4504,1.0926,1.1150,0.0676,1.3085,1.2620,0.1324,1.4989,1.4086,0.1975,1.6822,1.5477,0.3161,1.8459,1.6938,0.4283,8.0078,0.2000,0.0283,0.0000,0.0000,100.0000,99.8047
evaluation_results/10N_ER/run_20250716_103917/Sparse,Evaluation,10,ER,Sparse,0.2476,0.1919,,1.4334,1.3330,0.0369,1.9375,0.8420,0.1032,1.0220,0.8512,0.0504,1.2853,1.1929,0.0859,1.5304,1.5245,0.0449,1.7407,1.7977,0.0589,1.8945,1.9426,0.0747,17.9688,33.8000,0.0104,0.0000,12.8906,100.0000,96.0938
evaluation_results/14N_Bipartite/run_20250716_213333/Dense,Evaluation,14,Bipartite,Dense,0.4961,0.3727,,3.7469,4.3872,0.6549,44.3398,0.0000,1.2767,1.2034,1.0000,1.7366,1.2772,1.0143,1.5816,1.3538,1.1725,0.4871,1.4416,1.4153,0.1699,1.5892,2.0000,1.7725,0.0000,100.0000,0.0693,0.0000,0.0000,100.0000,100.0000
